,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
10,33.8133,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,81.5998847192452,"2'-Hydroxy-5'-methylacetophenone, TMS derivative",C12H18O2Si,67.6704234944038
11,33.7692,No Match,,,"Hexestrol, O,O'-di(pentafluoropropionyl)-",C24H20F10O4,56.4806598426579,"4-tert-Butylphenol, O-pentafluoropropionyl-",C13H13F5O2,53.2501204510839
12,33.5946,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,82.7762782508764,"4-tert-Butylphenol, TMS derivative",C13H22OSi,52.3825035396261
13,33.5339370619784,No Match,,,"tert-Butyldimethylsilyl 3-methyl-4-((2,2,3,3,3-pentafluoropropanoyl)oxy)benzoate",C17H21F5O4Si,50.068679852174,"tert-Butyldimethylsilyl 3-methyl-4-((2,2,3,3,3-pentafluoropropanoyl)oxy)benzoate",C17H21F5O4Si,50.068679852174
14,33.3637,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,82.0077725627377,"4-tert-Octylphenol, TMS derivative",C17H30OSi,50.2153497133691
15,33.3558105700844,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,61.3444758060728,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,61.3444758060728
16,33.1622,No Match,,,"8-Isopropyl-5-methyl-5,6,7,8-tetrahydro-2,4-quinazolinedione",C12H18N2O2,53.452661487186,Brallobarbital,C10H11BrN2O3,52.2573122981486
17,32.7239,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,55.6854159125855,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,55.6854159125855
18,32.7113037843133,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,66.9569150275349,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,66.9569150275349
19,32.4386563525148,No Match,,,1-Dimethyl(pentafluorophenyl)silyloxycyclohexane,C14H17F5OSi,51.5595441889179,1-Dimethyl(pentafluorophenyl)silyloxycyclohexane,C14H17F5OSi,51.5595441889179
20,32.2488,No Match,,,"Hexestrol, O,O'-di(pentafluoropropionyl)-",C24H20F10O4,64.7895925987846,3-Trifluoromethyl-7-phenothiazone,C13H6F3NOS,56.9213678535532
21,32.1033,No Match,,,"5-Fluoro-2-trifluoromethylbenzoic acid, 4-methoxyphenyl ester",C15H10F4O3,63.1798935165887,"2-Fluoro-3-trifluoromethylbenzoic acid, ethyl ester",C10H8F4O2,59.6114053399546
22,32.0428,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,85.1714297987921,"4-tert-Octylphenol, TMS derivative",C17H30OSi,54.0117727799147
23,31.8026,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,74.4252355794623,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,74.4252355794623
24,31.4759,"1,3-Benzenediol, o-(4-methylbenzoyl)-o'-(2-methoxybenzoyl)-",C22H18O5,62.6258776973793,"1,3-Benzenediol, o-(4-methylbenzoyl)-o'-(2-methoxybenzoyl)-",C22H18O5,62.6258776973793,"Adamantane-1-carboxamide, N-(4-bromophenyl)-",C17H20BrNO,50.2385233566251
25,31.3445374071529,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,63.5005830050449,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,63.5005830050449
26,31.1582,"2,4-Dimethylphenethyl alcohol",C10H14O,56.3845285715384,"1,5-Dimethyl-2-pyrrolecarbonitrile",C7H8N2,61.8475609325748,"Pyrazine, (1-methylethenyl)-",C7H8N2,50.9127881216017
27,30.9044,No Match,,,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,51.8839534302846,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,50.9058995655599
28,30.6990768617241,No Match,,,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,53.2698813650231,"3-Quinolinecarboxylic acid, 6,8-difluoro-4-hydroxy-, ethyl ester",C12H9F2NO3,53.2698813650231
29,30.4166,"Dibenzo[fg,ij]pentaphene",C28H16,52.7843292398603,"Silane, dimethyl(4-methoxyphenoxy)undecyloxy-",C20H36O3Si,53.3005178839814,"Isonipecotic acid, N-allyloxycarbonyl-, hexadecyl ester",C26H47NO4,52.2326708347733
30,30.1689,No Match,,,"1,1',1''-Nitrilotris(propan-2-ol), O,O',O""-tri(acetyl)-",C15H27NO6,62.4458369388294,trans-2-methyl-3-(2-methyl-3-thienylthio)-tetrahydro-thiophene,C10H14S3,54.8215288899839
31,30.1597231671746,"Isophthalic acid, 4-methoxyphenyl nonyl ester",C24H30O5,51.1961804722532,"Isophthalic acid, 4-methoxyphenyl nonyl ester",C24H30O5,51.1961804722532,"Isophthalic acid, 4-methoxyphenyl nonyl ester",C24H30O5,51.1961804722532
32,29.6167,No Match,,,"3-Pyridinecarbonitrile, 1,4-dihydro-1-methyl-",C7H8N2,71.148529613147,Catecholborane,C6H5BO2,62.5345938850638
33,29.6117,No Match,,,"3-Pyridinecarbonitrile, 1,4-dihydro-1-methyl-",C7H8N2,55.8848080837949,"Morpholine, 4-(4-aminobenzoyl)-",C11H14N2O2,52.1019845526873
34,29.3456,No Match,,,3-pentylpiperidin-2-one,C10H19NO,54.5203704993829,3-pentylpiperidin-2-one,C10H19NO,54.5203704993829
35,28.5576,No Match,,,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",C24H36O2Si2,65.9542030881989,6-Nitro-8-methoxy-2H-chromene,C10H9NO4,59.8954768175007
36,28.3857416086564,No Match,,,"L-Proline, N-(2,5-ditrifluoromethylbenzoyl)-, pentadecyl ester",C29H41F6NO3,50.1496376172214,"L-Proline, N-(2,5-ditrifluoromethylbenzoyl)-, pentadecyl ester",C29H41F6NO3,50.1496376172214
37,28.0673,No Match,,,"4-Methylbenzoic acid, 2,4-dichloronaphthyl-1 ester",C18H12Cl2O2,56.7002055869104,"Pyrazine, (1-methylethenyl)-",C7H8N2,50.2710254898146
38,26.6891,"Undecane, 3,8-dimethyl-",C13H28,76.9394381891864,"Hexadecane, 1-iodo-",C16H33I,79.5704866144299,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,65.8120972582223
39,26.3917,4-tert-Butoxystyrene,C12H16O,53.1168407634233,"Benzenesulfonamide, 4-methyl-N-(3,5-dimethylbenzyl)-N-isobutyl-",C20H27NO2S,61.1739617783188,4-tert-Butoxystyrene,C12H16O,53.1168407634233
40,26.2635,9-Ethyl-10-methylanthracene,C17H16,60.2387777482784,Noscapine,C22H23NO7,64.0830079936821,"Phenanthrene, 2,3,5-trimethyl-",C17H16,59.8390239727314
41,25.9352,No Match,,,"Benzenesulfonamide, 4-methyl-N-(3,5-dimethylbenzyl)-N-isobutyl-",C20H27NO2S,58.4131437929527,"Benzenesulfonamide, 4-methyl-N-(3,5-dimethylbenzyl)-N-dodecyl-",C28H43NO2S,50.6694331700382
42,25.9299674146607,No Match,,,"Diethyl 4-(4-hydroxy-3-methoxyphenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate",C20H25NO6,51.1004191302744,"Diethyl 4-(4-hydroxy-3-methoxyphenyl)-2,6-dimethyl-1,4-dihydro-3,5-pyridinedicarboxylate",C20H25NO6,51.1004191302744
43,25.8651,No Match,,,"Benzamide, 3-ethyl-N-(2-phenylethyl)-N-nonyl-",C26H37NO,54.8068665038496,"Benzamide, 4-ethyl-N-allyl-",C12H15NO,51.9904960519653
44,25.7274,No Match,,,"1-Methoxy-N-(4-methylbenzyl)-2-propanamine, N-trimethylsilyl-",C15H27NOSi,56.8426472534938,"Hydantoin, 1-benzoyl-2-thio-",C10H8N2O2S,52.4813191913375
45,25.5352,No Match,,,"2-p-Tolylbenzimidazole, N-methyl",C15H14N2,59.7605532205814,"2-Mercapto-4,6-dimethylnicotinonitrile, TBDMS derivative",C14H22N2SSi,55.9791723171862
46,25.2797,"9H-Xanthen-9-one, 4-methoxy-",C14H10O3,54.4872702178865,"1H-Benzo[d,E]phthalazine, 6-methoxy-1,3-dimethyl-",C14H14N2O,56.1074838339909,"3,4,5-Trimethoxyphenylacetic acid",C11H14O5,50.1330649062219
47,24.9497,"Decane, 3,8-dimethyl-",C12H26,76.1469918949677,"Decane, 3,8-dimethyl-",C12H26,76.1469918949677,Hexadecane,C16H34,69.3798444147401
48,24.7355,di-p-Tolylacetylene,C16H14,61.0545991662332,"9,10-Dihydro-9,10-dimethyl-9,10-ethanoanthracene-11,12-dicarboxylic acid, dimethyl ester",C22H22O4,62.0100514265699,Lathodoratin,C11H10O4,56.7226705784595
49,24.7277,6-Methoxy-3-methyl-2-benzofurancarboxylic acid,C11H10O4,55.7524593697636,6-Methoxy-3-methyl-2-benzofurancarboxylic acid,C11H10O4,55.7524593697636,"Fluorene-2,4-dione, 3-(3-chlorophenyl)-7-methoxy-9-thia-1,3,4a-triaza-",C16H10ClN3O3S,52.4790831729466
50,24.7084,6-Methoxy-3-methyl-2-benzofurancarboxylic acid,C11H10O4,58.1968997151147,6-Methoxy-3-methyl-2-benzofurancarboxylic acid,C11H10O4,58.1968997151147,Scoparone,C11H10O4,50.2803287959123
51,24.6128,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,76.6170979383025,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,76.6170979383025,Dimethyl diphenylsilane,C14H16Si,65.2399682099859
52,24.5706,4-Dodecyl-o-xylene,C20H34,60.4883178030144,"Benzamide, 3-methyl-N-(2-phenylethyl)-N-nonyl-",C25H35NO,66.1057546918638,"1,2-Benzenediol, O-(4-methylbenzoyl)-O'-propoxycarbonyl-",C18H18O5,54.5171518899039
53,24.4874,"Naphthalene, 1,2-dibutyl-",C18H24,56.9828399866802,"Naphthalene, 1,2-dibutyl-",C18H24,56.9828399866802,"Naphthalene, 1,2-dibutyl-",C18H24,50.7016721838724
54,24.0425,No Match,,,4-(Difluoromethoxy)benzonitrile,C8H5F2NO,53.995014494122,"3-Pyridinecarbonitrile, 1,4-dihydro-1-methyl-",C7H8N2,50.0660937976874
55,23.8111,No Match,,,"1,2-5,6-Dipyrazinocyclooctane",C12H12N4,54.2044200900185,"Benzenemethanol, 2,3,4,5,6-pentafluoro-.alpha.-methyl-",C8H5F5O,50.1324091690693
56,23.5475,No Match,,,"1H-Pyrazole, 1,5-bis(trimethylsilyl)-",C9H20N2Si2,56.4028068979373,"5-Methyl-2-methylsulfanyl-[1,2,4]triazolo[1,5-a]pyrimidine-7-thiol",C7H8N4S2,51.3921579923082
57,23.4696,"9H-Xanthen-9-one, 3-methoxy-",C14H10O3,57.8960099944705,"3-Fluorophenol, diisopropylsilyl ether",C12H19FOSi,58.9670794699308,"L-Valine, N-(2,6-difluoro-3-methylbenzoyl)-, pentadecyl ester",C28H45F2NO3,53.3747192209081
58,23.459,"9H-Xanthen-9-one, 3-methoxy-",C14H10O3,58.7674551413267,"9H-Xanthen-9-one, 3-methoxy-",C14H10O3,58.7674551413267,"9H-Pyrido[3,4-b]indole, 7-methoxy-1,9-dimethyl-",C14H14N2O,53.7394738576298
59,23.452,"9H-Xanthen-9-one, 3-methoxy-",C14H10O3,61.666954111906,"9H-Xanthen-9-one, 3-methoxy-",C14H10O3,61.666954111906,".beta.-Carboline, 7-methoxy-1,2-dimethyl-",C14H14N2O,54.4370340141135
60,23.3594,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,58.9434991899348,"Sebacic acid, nonyl 4-(2-phenylpropyl-2)-phenyl ester",C34H50O4,58.9434991899348,"1-(2,3,4-Trimethoxyphenyl)ethanol",C11H16O4,53.9537864874649
61,23.3301,"1,2-Benzenediol, O-(3-cyclopentylpropionyl)-O'-(4-ethylbenzoyl)-",C23H26O4,53.1599918536944,"1,2-Benzenediol, O-(3-cyclopentylpropionyl)-O'-(4-ethylbenzoyl)-",C23H26O4,53.1599918536944,"1,3-Benzenediol, o-(4-ethylbenzoyl)-",C15H14O3,50.705564462145
62,23.309,"Mandelic acid, 4-hydroxy-2,6-dimethoxy-, diacetate",C14H16O8,50.2282557573647,Cyprodinil,C14H15N3,53.0588368138378,"Mandelic acid, 4-hydroxy-2,6-dimethoxy-, diacetate",C14H16O8,50.2282557573647
63,23.1832,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,72.568150224096,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,72.568150224096,"Dibenzofuran, 2-methoxy-",C13H10O2,62.1888649465205
64,23.1378,No Match,,,"Syringol, TMS derivative",C11H18O3Si,52.1218435878418,"Syringol, TMS derivative",C11H18O3Si,50.8919147938504
65,23.1251,"Benzene, 1-(1,1-dimethylethyl)-4-phenoxy-",C16H18O,52.1512086337431,"2,3-Dimethoxyphenol, TMS",C11H18O3Si,59.4198370336815,"4-Amino-2,6-difluorobenzonitrile, TMS",C10H12F2N2Si,51.8765110020514
66,23.0518,"Undecane, 3,8-dimethyl-",C13H28,77.3872681450409,"Undecane, 3,8-dimethyl-",C13H28,77.3872681450409,Octadecane,C18H38,65.8055236851228
67,23.0389,"4,5-Dimethoxy-2-hydroxyacetophenone",C10H12O4,58.5540910298884,"Benzene, 1-ethyl-2,3,4,5,6-pentafluoro-",C8H5F5,59.5466258394909,"4-Acetyl-2,6-dimethoxyphenyl acetate",C12H14O5,56.2956562263973
68,22.9679,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,71.5742037438551,".beta.-Carboline, 6-methoxy-",C12H10N2O,73.0531226687383,"2,3-Dihydro-1,2-dimethyl-1H-cyclopenta[b]quinoxaline",C13H14N2,59.5276837392666
69,22.866,"2',4'-Dihydroxy-3',5'-dimethoxyacetophenone",C10H12O5,60.4583938145997,"2,3-Dihydro-1H-2-propylcyclopenta[b]quinoxaline",C14H16N2,69.7908713078939,"Benzoic acid, 2,4,5-trimethoxy-",C10H12O5,58.3550151049999
70,22.702,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,73.0080478150545,"Phloroglucinol, trimethylsilyl ether",C9H14O3Si,73.2323916359888,"Dibenzofuran, 2-methoxy-",C13H10O2,57.0436319636749
71,22.6912,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,59.6412568232504,".beta.-Carboline, 6-methoxy-",C12H10N2O,59.6453519714782,"2,3-Dihydro-1,3-dimethyl(1H)cyclopenta[b]quinoxaline",C13H14N2,57.911305333773
72,22.6823,3-Ethyl-3-methylheptane,C10H22,71.0204089594941,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,72.8265061591923,"Sulfurous acid, 2-ethylhexyl hexyl ester",C14H30O3S,59.3934730641534
73,22.6052,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,81.5166169019178,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,81.5166169019178,"6-Isopropyl-1,4-dimethylnaphthalene",C15H18,67.2268939459519
74,22.5862,"Octane, 3,7-dimethyl-1-(2,5-xylyl)-",C18H30,59.5809266070512,"3-Methylbenzoic acid, 2,5-dichlorophenyl ester",C14H10Cl2O2,60.943623053459,"Benzamide, 3-methyl-N-(2-phenylethyl)-N-heptyl-",C23H31NO,52.7483279219241
75,22.5711,No Match,,,"3-(4-Fluorophenyl)-4-(4-methylphenyl)-1,3-thiazol-2(3H)-imine",C16H13FN2S,50.4560295461119,"2-Benzoylbenzoic acid, TMS derivative",C17H18O3Si,50.1488418217366
76,22.5166,"Sebacic acid, ethyl 4-(2-phenylpropyl-2)-phenyl ester",C27H36O4,63.2126716632041,"Sebacic acid, ethyl 4-(2-phenylpropyl-2)-phenyl ester",C27H36O4,63.2126716632041,".beta.-Carboline, 8-methoxy-1-methyl-",C13H12N2O,50.6986303951733
77,22.4083,"1,5-Diacetylnaphthalene",C14H12O2,59.5997596728515,"1,5-Diacetylnaphthalene",C14H12O2,59.5997596728515,"1,5-Diacetylnaphthalene",C14H12O2,50.0954361711999
78,22.3004,No Match,,,"2,3-Dihydro-1,2-dimethyl-1H-cyclopenta[b]quinoxaline",C13H14N2,59.6287997902694,"9H-Pyrido[2,3-b]indole, 6-methoxy-",C12H10N2O,50.7564847903088
79,22.177,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,64.6563694181472,"Phenol, 4-(1-phenylethyl)-",C14H14O,71.2734294387776,"4-Ethoxycarbonyloxy-3,5-dimethoxybenzoic acid",C12H14O7,60.9768481397798
80,22.0707,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,68.9464561634618,"Phenol, 4-(1-phenylethyl)-",C14H14O,73.5888424590675,"Phenol, 4-(1-phenylethyl)-",C14H14O,55.6605129797349
81,22.0367,"Decane, 3-ethyl-3-methyl-",C13H28,65.022592849247,"2,4-Dimethyl-heptane-3,5-dione",C9H16O2,69.3340056387735,"Diglycolic acid, pentafluorobenzyl undecyl ester",C22H29F5O5,52.487885014198
82,21.9919,No Match,,,4-(Difluoromethoxy)benzonitrile,C8H5F2NO,56.4018114569148,4-(Difluoromethoxy)benzonitrile,C8H5F2NO,54.1374163419513
83,21.9346,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,52.7584007832564,"Benzamide, 3-ethyl-N-(2-phenylethyl)-N-pentyl-",C22H29NO,61.6574229444753,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,50.6203234691897
84,21.9153,No Match,,,"Cyclopropanethiocarboxylic acid, 1-iodo-, S-t-butyl ester",C8H13IOS,57.6662381233325,"2,5-Dimethyl-4-(3-nitrophenyl)pyridine",C13H12N2O2,51.3258440698006
85,21.7426,"4-Benzoyl-2,5-diphenyl-1,3-dioxolane",C22H18O3,50.5118120427406,"4-Benzoyl-2,5-diphenyl-1,3-dioxolane",C22H18O3,50.5118120427406,N-Benzyl-4-methylbenzamide,C15H15NO,50.3865559680676
86,21.7295919312186,No Match,,,1-(3-Chloro-4-methoxyphenyl)propan-1-one,C10H11ClO2,50.4293533898031,1-(3-Chloro-4-methoxyphenyl)propan-1-one,C10H11ClO2,50.4293533898031
87,21.7207,No Match,,,1-(3-Chloro-4-methoxyphenyl)propan-1-one,C10H11ClO2,52.5826291944211,1-(3-Chloro-4-methoxyphenyl)propan-1-one,C10H11ClO2,50.1206500233347
88,21.6529,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,59.3042310201815,"D-Alanine, N-(2,5-difluorobenzoyl)-, heptadecyl ester",C27H43F2NO3,65.2482617016243,"5,5-Dibutylnonane",C17H36,56.7128192308376
89,21.5267,"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-",C30H46,54.7667049126664,"4-Ethylbenzylamine, N,N-dihexyl-",C21H37N,65.9055879099885,"Benzaldehyde, 2,4,6-trimethyl-",C10H12O,50.0115255693065
90,21.4637,No Match,,,"2,3-Dihydro-1H-1-methylcyclopenta[b]quinoxaline",C12H12N2,72.4869756205251,"2-Thiophenecarboxylic acid, 5-tert-butyl-",C9H12O2S,55.5229496608559
91,21.4014,"1,1'-Biphenyl, 4-methoxy-",C13H12O,66.4268968261553,"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-1,3-dimethyl-5-(1-methylpropyl)-",C12H20N2O3,69.3611646166557,"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-1,3-dimethyl-5-(1-methylpropyl)-",C12H20N2O3,51.5918500929676
92,21.3599,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,58.7199434477089,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,58.7199434477089,Cyclohexyl trimethylsilyl ethylphosphonate,C11H25O3PSi,55.4260406383137
93,21.3549,"Naphthalene, 1,6-dimethyl-4-(1-methylethyl)-",C15H18,70.4569754823487,"Naphthalene, 1,6-dimethyl-4-(1-methylethyl)-",C15H18,70.4569754823487,"2,3-Dihydro-1H-1-methylcyclopenta[b]quinoxaline",C12H12N2,54.5307415740818
94,21.3296,No Match,,,"8-Hydroxyquinoline-5-carbaldehyde, tert-butyldimethylsilyl ether",C16H21NO2Si,50.2962598769983,"8-Hydroxyquinoline-5-carbaldehyde, tert-butyldimethylsilyl ether",C16H21NO2Si,50.2962598769983
95,21.2928,No Match,,,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, hexyl ester",C17H23F2NO3,75.6764110739507,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, undecyl ester",C22H33F2NO3,69.4114995527312
96,21.2823,No Match,,,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, isohexyl ester",C17H23F2NO3,71.5862002462298,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, undecyl ester",C22H33F2NO3,71.2566295813002
97,21.2293,Ethyl 1-naphthylacetate,C14H14O2,63.9704571019529,Ethyl 1-naphthylacetate,C14H14O2,63.9704571019529,Ethylnaphthidate,C19H23NO2,50.3554717407352
98,21.1709,"4,5-Dimethoxy-2-hydroxyacetophenone",C10H12O4,64.891626965021,"4,5-Dimethoxy-2-hydroxyacetophenone",C10H12O4,64.891626965021,"4-Methoxyphenol, TMS derivative",C10H16O2Si,62.3072460477018
99,21.1364,No Match,,,"1,5-Dimethyl-7,11-dithiaspiro[5.5]undecane (cis)",C11H20S2,62.1331907526243,"2-(3'-Hydroxyphenylamino)-5-methyl-4-oxo-3,4-dihydropyrimidine",C11H11N3O2,54.0111816805916
100,21.1108,"1,4,5,8-Tetramethylnaphthalene",C14H16,74.4081416801618,"1,4,5,8-Tetramethylnaphthalene",C14H16,74.4081416801618,"2,3-Dihydro-1H-1-methylcyclopenta[b]quinoxaline",C12H12N2,66.7469475974543
101,21.0963,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,60.8213280989692,"Azulene, 1,4-dimethyl-7-(1-methylethyl)-",C15H18,60.8213280989692,"Phenol, 4-(1-phenylethyl)-",C14H14O,55.0454818123003
102,21.0428,"Hexane, 3,3-dimethyl-",C8H18,73.0808633468356,"Hexane, 3,3-dimethyl-",C8H18,73.0808633468356,"Undecane, 6-ethyl-",C13H28,58.2279587845212
103,21.0283,No Match,,,"2,6-Difluoro-3-methylbenzoic acid, cyclohexyl ester",C14H16F2O2,55.4021073494617,"2,6-Difluoro-3-methylbenzoic acid, ethyl ester",C10H10F2O2,53.1641568533312
104,20.9731,"Dodecane, 2,6,10-trimethyl-",C15H32,84.0394637498165,"Dodecane, 2,6,10-trimethyl-",C15H32,84.0394637498165,"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-1,3-dimethyl-5-(3-methylbutyl)-",C13H22N2O3,60.945892328823
105,20.9226,"1,4,5,8-Tetramethylnaphthalene",C14H16,79.8993487445493,"1,4,5,8-Tetramethylnaphthalene",C14H16,79.8993487445493,"4-Cyclohepta-2,4,6-trienyl-phenol",C13H12O,60.4553747985672
106,20.887,No Match,,,"3-Pyridinecarbonitrile, 1,4-dihydro-1-methyl-",C7H8N2,80.3458663203122,"1,3-Benzendiol, o-(4-methylbenzoyl)-o'-(2-trifluoromethylbenzoyl)-",C22H15F3O4,58.6428980187434
107,20.8681,No Match,,,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, undecyl ester",C22H33F2NO3,54.2971381890886,"D-Alanine, N-(2,6-difluoro-3-methylbenzoyl)-, isohexyl ester",C17H23F2NO3,53.365752508015
108,20.8474,"4-Ethylbenzoic acid, tridec-2-ynyl ester",C22H32O2,56.1360018002137,"4-Ethylbenzoic acid, tridec-2-ynyl ester",C22H32O2,56.1360018002137,"1,2-Benzenediol, o-(2-bromopropionyl)-o'-(4-ethylbenzoyl)-",C18H17BrO4,51.6571960492774
109,20.8095,"1,4,5,8-Tetramethylnaphthalene",C14H16,50.5067673488976,"Hydrazine, 1,1-diphenyl-",C12H12N2,61.7049218008719,"1,4,5,8-Tetramethylnaphthalene",C14H16,50.5067673488976
